0.318	0	-0.05	lower
0.333	0	-0.05	lower
0.348	0	-0.05	lower
0.3255	0	-0.0388889	upper
0.3405	0	-0.0388889	upper
0.318	0	-0.0388889	lower
0.333	0	-0.0388889	lower
0.348	0	-0.0388889	lower
0.3255	0	-0.0277778	upper
0.3405	0	-0.0277778	upper
0.318	0	-0.0277778	lower
0.333	0	-0.0277778	lower
0.348	0	-0.0277778	lower
0.3255	0	-0.0166667	upper
0.3405	0	-0.0166667	upper
0.318	0	-0.0166667	lower
0.333	0	-0.0166667	lower
0.348	0	-0.0166667	lower
0.3255	0	-0.00555556	upper
0.3405	0	-0.00555556	upper
0.318	0	-0.00555556	lower
0.333	0	-0.00555556	lower
0.348	0	-0.00555556	lower
0.3255	0	0.00555556	upper
0.3405	0	0.00555556	upper
0.318	0	0.00555556	lower
0.333	0	0.00555556	lower
0.348	0	0.00555556	lower
0.3255	0	0.0166667	upper
0.3405	0	0.0166667	upper
0.318	0	0.0166667	lower
0.333	0	0.0166667	lower
0.348	0	0.0166667	lower
0.3255	0	0.0277778	upper
0.3405	0	0.0277778	upper
0.318	0	0.0277778	lower
0.333	0	0.0277778	lower
0.348	0	0.0277778	lower
0.3255	0	0.0388889	upper
0.3405	0	0.0388889	upper
0.318	0	0.0388889	lower
0.333	0	0.0388889	lower
0.348	0	0.0388889	lower
0.3255	0	0.05	upper
0.3405	0	0.05	upper
0.318	0	0.05	lower
0.333	0	0.05	lower
0.348	0	0.05	lower
0.3255	0	0.0611111	upper
0.3405	0	0.0611111	upper
