77600 1 1 2
1 X [cm]
2 Y [cm]
3 Z [cm]
0
5.95873 -31.2367 -1.66667
7.90834 -30.8009 -1.66667
9.82674 -30.2436 -1.66667
11.7064 -29.5669 -1.66667
13.5398 -28.7735 -1.66667
15.3198 -27.8666 -1.66667
17.0393 -26.8496 -1.66667
18.6916 -25.7267 -1.66667
20.2701 -24.5023 -1.66667
21.7686 -23.1812 -1.66667
23.1812 -21.7686 -1.66667
24.5023 -20.2701 -1.66667
25.7267 -18.6916 -1.66667
26.8496 -17.0393 -1.66667
27.8666 -15.3198 -1.66667
28.7735 -13.5398 -1.66667
29.5669 -11.7064 -1.66667
30.2436 -9.82674 -1.66667
30.8009 -7.90834 -1.66667
31.2367 -5.95873 -1.66667
31.5492 -3.9856 -1.66667
31.7372 -1.99674 -1.66667
31.8 0 -1.66667
31.7372 1.99674 -1.66667
31.5492 3.9856 -1.66667
31.2367 5.95873 -1.66667
30.8009 7.90834 -1.66667
30.2436 9.82674 -1.66667
29.5669 11.7064 -1.66667
28.7735 13.5398 -1.66667
27.8666 15.3198 -1.66667
26.8496 17.0393 -1.66667
25.7267 18.6916 -1.66667
24.5023 20.2701 -1.66667
23.1812 21.7686 -1.66667
21.7686 23.1812 -1.66667
20.2701 24.5023 -1.66667
18.6916 25.7267 -1.66667
17.0393 26.8496 -1.66667
15.3198 27.8666 -1.66667
13.5398 28.7735 -1.66667
11.7064 29.5669 -1.66667
9.82674 30.2436 -1.66667
7.90834 30.8009 -1.66667
5.95873 31.2367 -1.66667
3.9856 31.5492 -1.66667
1.99674 31.7372 -1.66667
1.94719e-15 31.8 -1.66667
-1.99674 31.7372 -1.66667
-3.9856 31.5492 -1.66667
-5.95873 31.2367 -1.66667
-7.90834 30.8009 -1.66667
-9.82674 30.2436 -1.66667
-11.7064 29.5669 -1.66667
-13.5398 28.7735 -1.66667
-15.3198 27.8666 -1.66667
-17.0393 26.8496 -1.66667
-18.6916 25.7267 -1.66667
-20.2701 24.5023 -1.66667
-21.7686 23.1812 -1.66667
-23.1812 21.7686 -1.66667
-24.5023 20.2701 -1.66667
-25.7267 18.6916 -1.66667
-26.8496 17.0393 -1.66667
-27.8666 15.3198 -1.66667
-28.7735 13.5398 -1.66667
-29.5669 11.7064 -1.66667
-30.2436 9.82674 -1.66667
-30.8009 7.90834 -1.66667
-31.2367 5.95873 -1.66667
-31.5492 3.9856 -1.66667
-31.7372 1.99674 -1.66667
-31.8 -3.89438e-15 -0.555556
-31.7372 -1.99674 -0.555556
-31.5492 -3.9856 -0.555556
-31.2367 -5.95873 -0.555556
-30.8009 -7.90834 -0.555556
-30.2436 -9.82674 -0.555556
-29.5669 -11.7064 -0.555556
-28.7735 -13.5398 -0.555556
-27.8666 -15.3198 -0.555556
-26.8496 -17.0393 -0.555556
-25.7267 -18.6916 -0.555556
-24.5023 -20.2701 -0.555556
-23.1812 -21.7686 -0.555556
-21.7686 -23.1812 -0.555556
-20.2701 -24.5023 -0.555556
-18.6916 -25.7267 -0.555556
-17.0393 -26.8496 -0.555556
-15.3198 -27.8666 -0.555556
-13.5398 -28.7735 -0.555556
-11.7064 -29.5669 -0.555556
-9.82674 -30.2436 -0.555556
-7.90834 -30.8009 -0.555556
-5.95873 -31.2367 -0.555556
-3.9856 -31.5492 -0.555556
-1.99674 -31.7372 -0.555556
1.94719e-15 -31.8 -0.555556
1.99674 -31.7372 -0.555556
3.9856 -31.5492 -0.555556
5.95873 -31.2367 -0.555556
7.90834 -30.8009 -0.555556
9.82674 -30.2436 -0.555556
11.7064 -29.5669 -0.555556
13.5398 -28.7735 -0.555556
15.3198 -27.8666 -0.555556
17.0393 -26.8496 -0.555556
18.6916 -25.7267 -0.555556
20.2701 -24.5023 -0.555556
21.7686 -23.1812 -0.555556
23.1812 -21.7686 -0.555556
24.5023 -20.2701 -0.555556
25.7267 -18.6916 -0.555556
26.8496 -17.0393 -0.555556
27.8666 -15.3198 -0.555556
28.7735 -13.5398 -0.555556
29.5669 -11.7064 -0.555556
30.2436 -9.82674 -0.555556
30.8009 -7.90834 -0.555556
31.2367 -5.95873 -0.555556
31.5492 -3.9856 -0.555556
31.7372 -1.99674 -0.555556
31.8 0 -0.555556
31.7372 1.99674 -0.555556
31.5492 3.9856 -0.555556
31.2367 5.95873 -0.555556
30.8009 7.90834 -0.555556
30.2436 9.82674 -0.555556
29.5669 11.7064 -0.555556
28.7735 13.5398 -0.555556
27.8666 15.3198 -0.555556
26.8496 17.0393 -0.555556
25.7267 18.6916 -0.555556
24.5023 20.2701 -0.555556
23.1812 21.7686 -0.555556
21.7686 23.1812 -0.555556
20.2701 24.5023 -0.555556
18.6916 25.7267 -0.555556
17.0393 26.8496 -0.555556
15.3198 27.8666 -0.555556
13.5398 28.7735 -0.555556
11.7064 29.5669 -0.555556
9.82674 30.2436 -0.555556
7.90834 30.8009 -0.555556
5.95873 31.2367 -0.555556
3.9856 31.5492 -0.555556
1.99674 31.7372 -0.555556
1.94719e-15 31.8 -0.555556
-1.99674 31.7372 -0.555556
-3.9856 31.5492 -0.555556
-5.95873 31.2367 -0.555556
-7.90834 30.8009 -0.555556
-9.82674 30.2436 -0.555556
-11.7064 29.5669 -0.555556
-13.5398 28.7735 -0.555556
-15.3198 27.8666 -0.555556
-17.0393 26.8496 -0.555556
-18.6916 25.7267 -0.555556
-20.2701 24.5023 -0.555556
-21.7686 23.1812 -0.555556
-23.1812 21.7686 -0.555556
-24.5023 20.2701 -0.555556
-25.7267 18.6916 -0.555556
-26.8496 17.0393 -0.555556
-27.8666 15.3198 -0.555556
-28.7735 13.5398 -0.555556
-29.5669 11.7064 -0.555556
-30.2436 9.82674 -0.555556
-30.8009 7.90834 -0.555556
-31.2367 5.95873 -0.555556
-31.5492 3.9856 -0.555556
-31.7372 1.99674 -0.555556
-31.8 -3.89438e-15 0.555556
-31.7372 -1.99674 0.555556
-31.5492 -3.9856 0.555556
-31.2367 -5.95873 0.555556
-30.8009 -7.90834 0.555556
-30.2436 -9.82674 0.555556
-29.5669 -11.7064 0.555556
-28.7735 -13.5398 0.555556
-27.8666 -15.3198 0.555556
-26.8496 -17.0393 0.555556
-25.7267 -18.6916 0.555556
-24.5023 -20.2701 0.555556
-23.1812 -21.7686 0.555556
-21.7686 -23.1812 0.555556
-20.2701 -24.5023 0.555556
-18.6916 -25.7267 0.555556
-17.0393 -26.8496 0.555556
-15.3198 -27.8666 0.555556
-13.5398 -28.7735 0.555556
-11.7064 -29.5669 0.555556
-9.82674 -30.2436 0.555556
-7.90834 -30.8009 0.555556
-5.95873 -31.2367 0.555556
-3.9856 -31.5492 0.555556
-1.99674 -31.7372 0.555556
1.94719e-15 -31.8 0.555556
1.99674 -31.7372 0.555556
3.9856 -31.5492 0.555556
5.95873 -31.2367 0.555556
7.90834 -30.8009 0.555556
9.82674 -30.2436 0.555556
11.7064 -29.5669 0.555556
13.5398 -28.7735 0.555556
15.3198 -27.8666 0.555556
17.0393 -26.8496 0.555556
18.6916 -25.7267 0.555556
20.2701 -24.5023 0.555556
21.7686 -23.1812 0.555556
23.1812 -21.7686 0.555556
24.5023 -20.2701 0.555556
25.7267 -18.6916 0.555556
26.8496 -17.0393 0.555556
27.8666 -15.3198 0.555556
28.7735 -13.5398 0.555556
29.5669 -11.7064 0.555556
