0.318	-0.2	2.14265e-24
0.318	-0.19596	1.58289e-23
0.318	-0.191919	1.1226e-22
0.318	-0.187879	7.64325e-22
0.318	-0.183838	4.9958e-21
0.318	-0.179798	3.13478e-20
0.318	-0.175758	1.88836e-19
0.318	-0.171717	1.09204e-18
0.318	-0.167677	6.06272e-18
0.318	-0.163636	3.23126e-17
0.318	-0.159596	1.6533e-16
0.318	-0.155556	8.12096e-16
0.318	-0.151515	3.82946e-15
0.318	-0.147475	1.73358e-14
0.318	-0.143434	7.53401e-14
0.318	-0.139394	3.14328e-13
0.318	-0.135354	1.25897e-12
0.318	-0.131313	4.84089e-12
0.318	-0.127273	1.78694e-11
0.318	-0.123232	6.3324e-11
0.318	-0.119192	2.15429e-10
0.318	-0.115152	7.0358e-10
0.318	-0.111111	2.20597e-09
0.318	-0.107071	6.63989e-09
0.318	-0.10303	1.91866e-08
0.318	-0.0989899	5.32243e-08
0.318	-0.0949495	1.41742e-07
0.318	-0.0909091	3.62378e-07
0.318	-0.0868687	8.89407e-07
0.318	-0.0828283	2.09563e-06
0.318	-0.0787879	4.74029e-06
0.318	-0.0747475	1.02937e-05
0.318	-0.0707071	2.14591e-05
0.318	-0.0666667	4.29465e-05
0.318	-0.0626263	8.25125e-05
0.318	-0.0585859	0.00015219
0.318	-0.0545455	0.000269482
0.318	-0.0505051	0.000458088
0.318	-0.0464646	0.000747554
0.318	-0.0424242	0.00117115
0.318	-0.0383838	0.0017614
0.318	-0.0343434	0.00254318
0.318	-0.030303	0.00352512
0.318	-0.0262626	0.00469078
0.318	-0.0222222	0.00599228
0.318	-0.0181818	0.00734876
0.318	-0.0141414	0.00865192
0.318	-0.010101	0.0097788
0.318	-0.00606061	0.0106105
0.318	-0.0020202	0.0110525
0.318	0.0020202	0.0110525
0.318	0.00606061	0.0106105
0.318	0.010101	0.0097788
0.318	0.0141414	0.00865192
0.318	0.0181818	0.00734876
0.318	0.0222222	0.00599228
0.318	0.0262626	0.00469078
0.318	0.030303	0.00352512
0.318	0.0343434	0.00254318
0.318	0.0383838	0.0017614
0.318	0.0424242	0.00117115
0.318	0.0464646	0.000747554
0.318	0.0505051	0.000458088
0.318	0.0545455	0.000269482
0.318	0.0585859	0.00015219
0.318	0.0626263	8.25125e-05
0.318	0.0666667	4.29465e-05
0.318	0.0707071	2.14591e-05
0.318	0.0747475	1.02937e-05
0.318	0.0787879	4.74029e-06
0.318	0.0828283	2.09563e-06
0.318	0.0868687	8.89407e-07
