12.000000 -34.000000 38.234461 -4.645126
12.000000 -33.000000 40.629278 -5.191827
12.000000 -32.000000 43.229989 -5.752633
12.000000 -31.000000 46.019828 -6.315070
12.000000 -30.000000 48.966555 -6.862796
12.000000 -29.000000 52.024792 -7.375296
12.000000 -28.000000 55.139658 -7.828786
12.000000 -27.000000 58.251614 -8.198387
12.000000 -26.000000 61.301891 -8.461177
12.000000 -25.000000 64.237472 -8.599347
12.000000 -24.000000 67.014685 -8.602545
12.000000 -23.000000 69.600922 -8.468811
12.000000 -22.000000 71.974557 -8.204040
12.000000 -21.000000 74.123587 -7.820379
12.000000 -20.000000 76.043622 -7.334161
12.000000 -19.000000 77.735788 -6.763916
12.000000 -18.000000 79.204885 -6.128806
12.000000 -17.000000 80.457981 -5.447581
12.000000 -16.000000 81.503460 -4.738034
12.000000 -15.000000 82.350481 -4.016843
12.000000 -14.000000 83.008781 -3.299662
12.000000 -13.000000 83.488768 -2.601349
12.000000 -12.000000 83.801817 -1.936209
12.000000 -11.000000 83.960748 -1.318158
12.000000 -10.000000 83.980391 -0.760722
12.000000 -9.000000 83.878185 -0.276789
12.000000 -8.000000 83.674667 0.121940
12.000000 -7.000000 83.393710 0.425806
12.000000 -6.000000 83.062345 0.628310
12.000000 -5.000000 82.710013 0.727329
12.000000 -4.000000 82.367188 0.726209
12.000000 -3.000000 82.063441 0.634472
12.000000 -2.000000 81.825153 0.467900
12.000000 -1.000000 81.673206 0.247878
12.000000 0.000000 81.621015 0.000000
12.000000 1.000000 81.673206 -0.247878
12.000000 2.000000 81.825153 -0.467900
12.000000 3.000000 82.063441 -0.634472
12.000000 4.000000 82.367188 -0.726209
12.000000 5.000000 82.710013 -0.727329
12.000000 6.000000 83.062345 -0.628310
12.000000 7.000000 83.393710 -0.425806
12.000000 8.000000 83.674667 -0.121940
12.000000 9.000000 83.878185 0.276789
12.000000 10.000000 83.980391 0.760722
12.000000 11.000000 83.960748 1.318158
12.000000 12.000000 83.801817 1.936209
12.000000 13.000000 83.488768 2.601349
12.000000 14.000000 83.008781 3.299662
12.000000 15.000000 82.350481 4.016843
12.000000 16.000000 81.503460 4.738034
12.000000 17.000000 80.457981 5.447581
12.000000 18.000000 79.204885 6.128806
12.000000 19.000000 77.735788 6.763916
12.000000 20.000000 76.043622 7.334161
12.000000 21.000000 74.123587 7.820379
12.000000 22.000000 71.974557 8.204040
12.000000 23.000000 69.600922 8.468811
12.000000 24.000000 67.014685 8.602545
12.000000 25.000000 64.237472 8.599347
12.000000 26.000000 61.301891 8.461177
12.000000 27.000000 58.251614 8.198387
12.000000 28.000000 55.139658 7.828786
12.000000 29.000000 52.024792 7.375296
12.000000 30.000000 48.966555 6.862796
12.000000 31.000000 46.019828 6.315070
12.000000 32.000000 43.229989 5.752633
12.000000 33.000000 40.629278 5.191827
12.000000 34.000000 38.234461 4.645126
